event_id,ticker,event_date,reported_drop_pct,source
user-074,ARBB,2025-02-28,-54.0,user_supplied_unverified
user-075,DGNX,2025-02-25,-54.0,user_supplied_unverified
user-076,MFI,2025-02-25,-56.0,user_supplied_unverified
user-077,PTHL,2025-02-24,-53.0,user_supplied_unverified
user-078,WOK,2025-02-20,-67.0,user_supplied_unverified
user-079,INLF,2025-02-18,-81.0,user_supplied_unverified
user-080,WLGS,2025-02-14,-58.0,user_supplied_unverified
user-081,PWM,2025-02-14,-61.0,user_supplied_unverified
user-082,PCLA,2025-02-14,-62.0,user_supplied_unverified
user-083,HTLM,2025-02-13,-60.0,user_supplied_unverified
user-084,STBX,2025-02-10,-53.0,user_supplied_unverified
user-085,CLEU,2025-01-30,-98.0,user_supplied_unverified
user-086,TDTH,2025-01-30,-60.0,user_supplied_unverified
user-087,DXF,2025-01-27,-76.0,user_supplied_unverified
user-088,NXTT,2025-01-24,-63.0,user_supplied_unverified
user-089,STBX,2025-01-24,-52.0,user_supplied_unverified
user-090,CHSN,2025-01-23,-88.0,user_supplied_unverified
user-091,STFS,2025-01-22,-85.0,user_supplied_unverified
user-092,ORKT,2025-01-17,-83.0,user_supplied_unverified
user-093,PMAX,2025-01-16,-69.0,user_supplied_unverified
user-094,WNW,2025-01-15,-66.0,user_supplied_unverified
user-095,PTLE,2025-01-15,-80.0,user_supplied_unverified
user-096,WNW,2025-01-14,-76.0,user_supplied_unverified
user-097,EHGO,2025-01-13,-72.0,user_supplied_unverified
user-098,GRNQ,2025-01-13,-52.0,user_supplied_unverified
user-099,CDTG,2025-01-10,-58.0,user_supplied_unverified
user-100,BHAT,2025-01-08,-53.0,user_supplied_unverified
user-101,SISI,2025-01-02,-56.0,user_supplied_unverified
user-102,MI,2024-12-30,-57.0,user_supplied_unverified
user-103,ICG,2024-12-30,-67.0,user_supplied_unverified
user-104,LNKS,2024-12-26,-74.0,user_supplied_unverified
user-105,CURR,2024-12-19,-73.0,user_supplied_unverified
user-106,WLGS,2024-12-19,-54.0,user_supplied_unverified
user-107,UCL,2024-12-19,-52.0,user_supplied_unverified
user-108,XHG,2024-12-18,-60.0,user_supplied_unverified
user-109,XCH,2024-12-18,-94.0,user_supplied_unverified
user-110,ORKT,2024-12-17,-55.0,user_supplied_unverified
user-111,SFHG,2024-12-12,-63.0,user_supplied_unverified
user-112,SFHG,2024-12-11,-88.0,user_supplied_unverified
user-113,TNMG,2024-12-10,-59.0,user_supplied_unverified
user-114,UPC,2024-12-09,-63.0,user_supplied_unverified
user-115,MRM,2024-12-09,-59.0,user_supplied_unverified
user-116,ORIS,2024-12-06,-81.0,user_supplied_unverified
user-117,LICN,2024-12-06,-91.0,user_supplied_unverified
user-118,ZBAO,2024-12-06,-61.0,user_supplied_unverified
user-119,PGHL,2024-11-27,-91.0,user_supplied_unverified
user-120,HAO,2024-11-27,-50.0,user_supplied_unverified
user-121,SKK,2024-11-21,-85.0,user_supplied_unverified
user-122,GLXG,2024-11-21,-61.0,user_supplied_unverified
user-123,WCT,2024-11-21,-73.0,user_supplied_unverified
user-124,QMMM,2024-11-18,-77.0,user_supplied_unverified
user-125,MI,2024-11-15,-67.0,user_supplied_unverified
user-126,WCT,2024-11-14,-50.0,user_supplied_unverified
user-127,GLXG,2024-11-13,-73.0,user_supplied_unverified
user-128,ELWS,2024-11-07,-53.0,user_supplied_unverified
user-129,ARBB,2024-11-06,-55.0,user_supplied_unverified
user-130,QMMM,2024-11-06,-59.0,user_supplied_unverified
user-131,LGCB,2024-11-06,-59.0,user_supplied_unverified
user-132,WCT,2024-11-06,-51.0,user_supplied_unverified
user-133,UOKA,2024-10-31,-68.0,user_supplied_unverified
user-134,STBX,2024-10-31,-67.0,user_supplied_unverified
user-135,STBX,2024-10-30,-60.0,user_supplied_unverified
user-136,TWG,2024-10-25,-96.0,user_supplied_unverified
user-137,ORKT,2024-10-24,-79.0,user_supplied_unverified
user-138,MNDR,2024-10-24,-59.0,user_supplied_unverified
user-139,PC,2024-10-23,-73.0,user_supplied_unverified
user-140,NCI,2024-10-22,-57.0,user_supplied_unverified
user-141,STEC,2024-10-16,-61.0,user_supplied_unverified
user-142,CLIK,2024-10-09,-50.0,user_supplied_unverified
user-143,MWG,2024-10-07,-57.0,user_supplied_unverified
user-144,ADD,2024-10-03,-66.0,user_supplied_unverified
user-145,KXIN,2024-10-01,-55.0,user_supplied_unverified
user-146,XHG,2024-09-30,-73.0,user_supplied_unverified
user-147,PAVS,2024-09-30,-61.0,user_supplied_unverified
user-148,ICG,2024-09-27,-53.0,user_supplied_unverified
user-149,GSIW,2024-09-20,-88.0,user_supplied_unverified
user-150,LGCB,2024-09-20,-56.0,user_supplied_unverified
user-151,XCH,2024-09-19,-59.0,user_supplied_unverified
user-152,HAO,2024-09-19,-80.0,user_supplied_unverified
user-153,PGHL,2024-09-17,-71.0,user_supplied_unverified
user-154,JBDI,2024-09-16,-93.0,user_supplied_unverified
user-155,GSIW,2024-09-13,-81.0,user_supplied_unverified
user-156,UPC,2024-09-13,-78.0,user_supplied_unverified
user-157,UPC,2024-09-12,-56.0,user_supplied_unverified
user-158,AEHL,2024-09-12,-56.0,user_supplied_unverified
user-159,RYDE,2024-09-12,-88.0,user_supplied_unverified
user-160,QH,2024-09-11,-56.0,user_supplied_unverified
user-161,RYDE,2024-09-11,-82.0,user_supplied_unverified
user-162,CURR,2024-09-03,-57.0,user_supplied_unverified
user-163,MAXN,2024-08-29,-50.0,user_supplied_unverified
user-164,WTO,2024-08-28,-97.0,user_supplied_unverified
user-165,FAMI,2024-08-23,-75.0,user_supplied_unverified
user-166,UBXG,2024-08-23,-96.0,user_supplied_unverified
user-167,EJH,2024-08-13,-90.0,user_supplied_unverified
user-168,ADD,2024-08-08,-53.0,user_supplied_unverified
user-169,ANTE,2024-08-06,-83.0,user_supplied_unverified
user-170,PMEC,2024-08-05,-50.0,user_supplied_unverified
user-171,HPAI,2024-08-05,-69.0,user_supplied_unverified
user-172,PMEC,2024-07-31,-54.0,user_supplied_unverified
user-173,TANH,2024-07-26,-57.0,user_supplied_unverified
user-174,NXTT,2024-07-24,-68.0,user_supplied_unverified
user-175,SISI,2024-07-11,-59.0,user_supplied_unverified
user-176,CLEU,2024-07-08,-69.0,user_supplied_unverified
user-177,MAXN,2024-07-02,-71.0,user_supplied_unverified
user-178,BTOG,2024-06-28,-52.0,user_supplied_unverified
user-179,KUKE,2024-06-25,-57.0,user_supplied_unverified
user-180,LRE,2024-06-24,-73.0,user_supplied_unverified
user-181,CCM,2024-06-05,-73.0,user_supplied_unverified
user-182,SFWL,2024-06-05,-53.0,user_supplied_unverified
user-183,JDZG,2024-06-04,-89.0,user_supplied_unverified
user-184,MAXN,2024-05-30,-69.0,user_supplied_unverified
user-185,SWIN,2024-05-23,-91.0,user_supplied_unverified
user-186,SWIN,2024-05-22,-59.0,user_supplied_unverified
user-187,MTC,2024-05-20,-87.0,user_supplied_unverified
user-188,MNDR,2024-05-03,-87.0,user_supplied_unverified
user-189,BON,2024-05-02,-58.0,user_supplied_unverified
user-190,MNDR,2024-05-01,-67.0,user_supplied_unverified
user-191,MFI,2024-04-26,-83.0,user_supplied_unverified
user-192,GITS,2024-04-25,-59.0,user_supplied_unverified
user-193,EJH,2024-04-25,-76.0,user_supplied_unverified
user-194,NCI,2024-04-24,-76.0,user_supplied_unverified
user-195,YYAI,2024-04-19,-62.0,user_supplied_unverified
user-196,IZM,2024-04-17,-93.0,user_supplied_unverified
user-197,TWG,2024-04-16,-66.0,user_supplied_unverified
user-198,NA,2024-04-11,-53.0,user_supplied_unverified
user-199,AEHL,2024-04-08,-56.0,user_supplied_unverified
user-200,NIVF,2024-04-04,-71.0,user_supplied_unverified
user-201,FAAS,2024-04-03,-71.0,user_supplied_unverified
user-202,JZXN,2024-04-03,-67.0,user_supplied_unverified
user-203,PMEC,2024-03-28,-67.0,user_supplied_unverified
user-204,WETH,2024-03-27,-55.0,user_supplied_unverified
user-205,QH,2024-03-26,-76.0,user_supplied_unverified
user-206,LXEH,2024-03-21,-90.0,user_supplied_unverified
user-207,GMM,2024-03-18,-71.0,user_supplied_unverified
user-208,SWIN,2024-03-14,-55.0,user_supplied_unverified
user-209,SWIN,2024-03-13,-61.0,user_supplied_unverified
user-210,SPPL,2024-03-12,-81.0,user_supplied_unverified
user-211,JL,2024-02-29,-91.0,user_supplied_unverified
user-212,IFBD,2024-02-27,-61.0,user_supplied_unverified
user-213,HOLO,2024-02-20,-72.0,user_supplied_unverified
user-214,OST,2024-02-20,-61.0,user_supplied_unverified
user-215,TCTM,2024-02-16,-52.0,user_supplied_unverified
user-216,CHNR,2024-02-16,-57.0,user_supplied_unverified
user-217,AMBO,2024-02-16,-58.0,user_supplied_unverified
user-218,SELX,2024-02-16,-67.0,user_supplied_unverified
user-219,ZJYL,2024-02-09,-54.0,user_supplied_unverified
user-220,CCTG,2024-02-01,-84.0,user_supplied_unverified
user-221,KXIN,2024-01-31,-64.0,user_supplied_unverified
user-222,WNW,2024-01-30,-73.0,user_supplied_unverified
user-223,RTC,2024-01-30,-82.0,user_supplied_unverified
user-224,TKLF,2024-01-26,-61.0,user_supplied_unverified
user-225,ROMA,2024-01-17,-72.0,user_supplied_unverified
user-226,GNS,2024-01-12,-54.0,user_supplied_unverified
user-227,ROMA,2024-01-09,-81.0,user_supplied_unverified
user-228,HLP,2024-01-04,-63.0,user_supplied_unverified
user-229,IFBD,2024-01-03,-51.0,user_supplied_unverified
user-230,EJH,2024-01-03,-69.0,user_supplied_unverified
