event_id,ticker,event_date,result,sampled_decisions,first_conditional_match,unresolved
user-023,MCTR,2025-06-04,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-024,PTLE,2025-06-04,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-025,RAY,2025-06-03,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-026,PTLE,2025-06-03,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-027,SISI,2025-05-30,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-028,NAMI,2025-05-29,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-04-30T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-029,GDHG,2025-05-23,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-030,UFG,2025-05-22,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-031,HLP,2025-05-21,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-032,WYHG,2025-05-15,CONDITIONAL_FIRM_AND_PRICE_MATCH,10,2025-05-06T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-033,BLMZ,2025-05-14,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-034,HTCO,2025-05-14,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-035,RGC,2025-05-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-036,ITP,2025-05-13,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-037,ZYBT,2025-05-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-038,NTCL,2025-05-05,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-04-11T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-039,SXTC,2025-05-05,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-040,CDTG,2025-05-01,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-041,HPH,2025-05-01,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-042,EJH,2025-04-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-043,AGMH,2025-04-29,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-044,ZYBT,2025-04-29,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-045,CGTL,2025-04-25,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-03-31T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-046,JZXN,2025-04-24,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-04-08T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-047,OMH,2025-04-22,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-04-21T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-048,JYD,2025-04-22,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-049,CLIK,2025-04-21,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-050,SXTC,2025-04-21,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-051,LXEH,2025-04-21,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-03-26T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-052,RTC,2025-04-21,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-053,CLIK,2025-04-17,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-054,LXEH,2025-04-17,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-03-20T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-055,CLIK,2025-04-16,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-056,BLMZ,2025-04-16,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-057,XHG,2025-04-11,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-058,LXEH,2025-04-10,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-03-18T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-059,OST,2025-04-09,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-060,XHG,2025-04-08,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-061,FEDU,2025-04-08,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-062,AGMH,2025-04-07,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-063,JYD,2025-04-02,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-064,TDTH,2025-03-27,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-065,WLGS,2025-03-24,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-02-25T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-066,HTCO,2025-03-24,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,16,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-067,ANTE,2025-03-18,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-068,BON,2025-03-17,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-069,SPHL,2025-03-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-070,SPHL,2025-03-12,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-071,WCT,2025-03-11,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-03-06T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-072,STBX,2025-03-04,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-073,AGMH,2025-03-03,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-074,ARBB,2025-02-28,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-075,DGNX,2025-02-25,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-076,MFI,2025-02-25,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-077,PTHL,2025-02-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-078,WOK,2025-02-20,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,2,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-079,INLF,2025-02-18,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-080,WLGS,2025-02-14,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-01-16T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-081,PWM,2025-02-14,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-082,PCLA,2025-02-14,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-083,HTLM,2025-02-13,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2025-01-27T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-084,STBX,2025-02-10,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-085,CLEU,2025-01-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-086,TDTH,2025-01-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-087,DXF,2025-01-27,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-088,NXTT,2025-01-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-089,STBX,2025-01-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-090,CHSN,2025-01-23,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2024-12-26T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-091,STFS,2025-01-22,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-092,ORKT,2025-01-17,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-093,PMAX,2025-01-16,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-094,WNW,2025-01-15,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-095,PTLE,2025-01-15,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-096,WNW,2025-01-14,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-097,EHGO,2025-01-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-098,GRNQ,2025-01-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-099,CDTG,2025-01-10,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2024-12-10T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-100,BHAT,2025-01-08,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,19,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-101,SISI,2025-01-02,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,19,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-102,MI,2024-12-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-103,ICG,2024-12-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-104,LNKS,2024-12-26,CONDITIONAL_FIRM_AND_PRICE_MATCH,18,2024-12-05T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-105,CURR,2024-12-19,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-106,WLGS,2024-12-19,CONDITIONAL_FIRM_AND_PRICE_MATCH,19,2024-12-03T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-107,UCL,2024-12-19,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-108,XHG,2024-12-18,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-109,XCH,2024-12-18,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-110,ORKT,2024-12-17,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-111,SFHG,2024-12-12,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-112,SFHG,2024-12-11,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-113,TNMG,2024-12-10,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-114,UPC,2024-12-09,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-115,MRM,2024-12-09,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-116,ORIS,2024-12-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-117,LICN,2024-12-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-118,ZBAO,2024-12-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-119,PGHL,2024-11-27,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-11-04T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-120,HAO,2024-11-27,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-121,SKK,2024-11-21,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-122,GLXG,2024-11-21,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-123,WCT,2024-11-21,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-124,QMMM,2024-11-18,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-125,MI,2024-11-15,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-126,WCT,2024-11-14,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-127,GLXG,2024-11-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-128,ELWS,2024-11-07,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-11-04T20:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-129,ARBB,2024-11-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-130,QMMM,2024-11-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-131,LGCB,2024-11-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-132,WCT,2024-11-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-133,UOKA,2024-10-31,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-134,STBX,2024-10-31,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-135,STBX,2024-10-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-136,TWG,2024-10-25,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-10-11T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-137,ORKT,2024-10-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-138,MNDR,2024-10-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-139,PC,2024-10-23,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-140,NCI,2024-10-22,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-141,STEC,2024-10-16,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-142,CLIK,2024-10-09,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-143,MWG,2024-10-07,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-144,ADD,2024-10-03,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-145,KXIN,2024-10-01,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-146,XHG,2024-09-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-147,PAVS,2024-09-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-148,ICG,2024-09-27,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-149,GSIW,2024-09-20,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-09-10T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-150,LGCB,2024-09-20,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-151,XCH,2024-09-19,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-152,HAO,2024-09-19,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-153,PGHL,2024-09-17,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-08-21T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-154,JBDI,2024-09-16,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-155,GSIW,2024-09-13,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-09-10T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-156,UPC,2024-09-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-157,UPC,2024-09-12,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-158,AEHL,2024-09-12,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-159,RYDE,2024-09-12,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-08-21T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-160,QH,2024-09-11,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-161,RYDE,2024-09-11,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-08-13T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-162,CURR,2024-09-03,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-163,MAXN,2024-08-29,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-164,WTO,2024-08-28,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-165,FAMI,2024-08-23,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-166,UBXG,2024-08-23,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-07-26T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-167,EJH,2024-08-13,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-168,ADD,2024-08-08,SAMPLED_WITHOUT_FIRM_PRICE_MATCH,20,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-169,ANTE,2024-08-06,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-170,PMEC,2024-08-05,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-171,HPAI,2024-08-05,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-172,PMEC,2024-07-31,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-173,TANH,2024-07-26,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-174,NXTT,2024-07-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-175,SISI,2024-07-11,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-176,CLEU,2024-07-08,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-177,MAXN,2024-07-02,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-178,BTOG,2024-06-28,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-06-04T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-179,KUKE,2024-06-25,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-180,LRE,2024-06-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-181,CCM,2024-06-05,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-182,SFWL,2024-06-05,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-183,JDZG,2024-06-04,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-184,MAXN,2024-05-30,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-185,SWIN,2024-05-23,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-186,SWIN,2024-05-22,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-187,MTC,2024-05-20,CONDITIONAL_FIRM_AND_PRICE_MATCH,20,2024-04-29T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-188,MNDR,2024-05-03,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-189,BON,2024-05-02,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-190,MNDR,2024-05-01,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-191,MFI,2024-04-26,CONDITIONAL_FIRM_AND_PRICE_MATCH,2,2024-04-24T19:00:00+00:00,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-192,GITS,2024-04-25,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-193,EJH,2024-04-25,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
user-194,NCI,2024-04-24,NOT_COVERED_BY_THIS_BATCH,0,,"Market cap, historical halts, later context and symbol intervals remain unverified"
